Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Flags
TCP,10.0.2.4,38183,10.0.2.5,2161,S
TCP,10.0.2.4,38183,10.0.2.5,3551,S
TCP,10.0.2.4,38183,10.0.2.5,8333,S
TCP,10.0.2.4,38183,10.0.2.5,1102,S
TCP,10.0.2.4,38183,10.0.2.5,1079,S
TCP,10.0.2.4,38183,10.0.2.5,7103,S
TCP,10.0.2.4,38183,10.0.2.5,625,S
TCP,10.0.2.4,38183,10.0.2.5,8008,S
TCP,10.0.2.5,808,10.0.2.4,38183,AR
TCP,10.0.2.5,8082,10.0.2.4,38183,AR
TCP,10.0.2.5,1434,10.0.2.4,38183,AR
TCP,10.0.2.5,1783,10.0.2.4,38183,AR
TCP,10.0.2.5,3476,10.0.2.4,38183,AR
TCP,10.0.2.5,3998,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,1067,S
TCP,10.0.2.5,2035,10.0.2.4,38183,AR
TCP,10.0.2.5,1055,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,5987,S
TCP,10.0.2.4,38183,10.0.2.5,2525,S
TCP,10.0.2.4,38183,10.0.2.5,5952,S
TCP,10.0.2.5,1064,10.0.2.4,38183,AR
TCP,10.0.2.5,7443,10.0.2.4,38183,AR
TCP,10.0.2.5,389,10.0.2.4,38183,AR
TCP,10.0.2.5,4343,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2033,S
TCP,10.0.2.5,7512,10.0.2.4,38183,AR
TCP,10.0.2.5,1028,10.0.2.4,38183,AR
TCP,10.0.2.5,5030,10.0.2.4,38183,AR
TCP,10.0.2.5,4003,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,2048,S
TCP,10.0.2.4,38183,10.0.2.5,1095,S
TCP,10.0.2.5,8089,10.0.2.4,38183,AR
TCP,10.0.2.5,2800,10.0.2.4,38183,AR
TCP,10.0.2.5,416,10.0.2.4,38183,AR
TCP,10.0.2.5,4662,10.0.2.4,38183,AR
TCP,10.0.2.5,2161,10.0.2.4,38183,AR
TCP,10.0.2.5,3551,10.0.2.4,38183,AR
TCP,10.0.2.5,8333,10.0.2.4,38183,AR
TCP,10.0.2.5,1102,10.0.2.4,38183,AR
TCP,10.0.2.5,1079,10.0.2.4,38183,AR
TCP,10.0.2.5,7103,10.0.2.4,38183,AR
TCP,10.0.2.5,625,10.0.2.4,38183,AR
TCP,10.0.2.5,8008,10.0.2.4,38183,AR
TCP,10.0.2.5,1067,10.0.2.4,38183,AR
TCP,10.0.2.5,5987,10.0.2.4,38183,AR
TCP,10.0.2.5,2525,10.0.2.4,38183,AR
TCP,10.0.2.5,5952,10.0.2.4,38183,AR
TCP,10.0.2.5,2033,10.0.2.4,38183,AR
TCP,10.0.2.5,2048,10.0.2.4,38183,AR
TCP,10.0.2.5,1095,10.0.2.4,38183,AR
TCP,10.0.2.4,38183,10.0.2.5,6003,S
TCP,10.0.2.4,38183,10.0.2.5,65129,S
